source_type,source_id,edge_type,target_type,target_id
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-LOG-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-REG-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-REG-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-003
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-REG-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-REG-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-003
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-003
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-006
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-EVT-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-EVT-SPEC-001,depends_on,document,UDQ-HIS-SPEC-001
document,UDQ-EVT-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-EVT-SPEC-001,depends_on,document,UDQ-REM-SPEC-001
document,UDQ-EVT-SPEC-001,depends_on,document,UDQ-UI-MOD-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-PROF-SPEC-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-UI-SPEC-004
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-GOV-STD-002
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-PROF-SPEC-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-UI-SPEC-004
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-EVT-SPEC-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-GOV-SPEC-005
document,UDQ-EXM-SPEC-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-REQ-MAT-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-QUAL-DEF-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-QUAL-SPEC-002
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-AUD-SPEC-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-AUD-SPEC-002
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-SCM-STD-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-GOV-RPT-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-GOV-REG-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-GOV-REG-002
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-IMP-PLAN-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-IMP-PLAN-001
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-GOV-RPT-002
document,UDQ-GAP-RPT-001,depends_on,document,UDQ-REQ-MAT-001
